titles,summaries,terms,word_count,unique_word_count
Towards Domain-Agnostic Contrastive Learning,"Despite recent success, most contrastive self-supervised learning methods are
domain-specific, relying heavily on data augmentation techniques that require
knowledge about a particular domain, such as image cropping and rotation. To
overcome such limitation, we propose a novel domain-agnostic approach to
contrastive learning, named DACL, that is applicable to domains where
invariances, and thus, data augmentation techniques, are not readily available.
Key to our approach is the use of Mixup noise to create similar and dissimilar
examples by mixing data samples differently either at the input or hidden-state
levels. To demonstrate the effectiveness of DACL, we conduct experiments across
various domains such as tabular data, images, and graphs. Our results show that
DACL not only outperforms other domain-agnostic noising methods, such as
Gaussian-noise, but also combines well with domain-specific methods, such as
SimCLR, to improve self-supervised visual representation learning. Finally, we
theoretically analyze our method and show advantages over the Gaussian-noise
based contrastive learning approach.","['cs.LG', 'cs.AI', 'stat.ML']",163,105
Explaining Algorithmic Fairness Through Fairness-Aware Causal Path Decomposition,"Algorithmic fairness has aroused considerable interests in data mining and
machine learning communities recently. So far the existing research has been
mostly focusing on the development of quantitative metrics to measure algorithm
disparities across different protected groups, and approaches for adjusting the
algorithm output to reduce such disparities. In this paper, we propose to study
the problem of identification of the source of model disparities. Unlike
existing interpretation methods which typically learn feature importance, we
consider the causal relationships among feature variables and propose a novel
framework to decompose the disparity into the sum of contributions from
fairness-aware causal paths, which are paths linking the sensitive attribute
and the final predictions, on the graph. We also consider the scenario when the
directions on certain edges within those paths cannot be determined. Our
framework is also model agnostic and applicable to a variety of quantitative
disparity measures. Empirical evaluations on both synthetic and real-world data
sets are provided to show that our method can provide precise and comprehensive
explanations to the model disparities.",['cs.LG'],174,117
DeGraF-Flow: Extending DeGraF Features for accurate and efficient sparse-to-dense optical flow estimation,"Modern optical flow methods make use of salient scene feature points detected
and matched within the scene as a basis for sparse-to-dense optical flow
estimation. Current feature detectors however either give sparse, non uniform
point clouds (resulting in flow inaccuracies) or lack the efficiency for
frame-rate real-time applications. In this work we use the novel Dense Gradient
Based Features (DeGraF) as the input to a sparse-to-dense optical flow scheme.
This consists of three stages: 1) efficient detection of uniformly distributed
Dense Gradient Based Features (DeGraF); 2) feature tracking via robust local
optical flow; and 3) edge preserving flow interpolation to recover overall
dense optical flow. The tunable density and uniformity of DeGraF features yield
superior dense optical flow estimation compared to other popular feature
detectors within this three stage pipeline. Furthermore, the comparable speed
of feature detection also lends itself well to the aim of real-time optical
flow recovery. Evaluation on established real-world benchmark datasets show
test performance in an autonomous vehicle setting where DeGraF-Flow shows
promising results in terms of accuracy with competitive computational
efficiency among non-GPU based methods, including a marked increase in speed
over the conceptually similar EpicFlow approach.","['cs.CV', 'cs.AI']",202,131
Analysing domain shift factors between videos and images for object detection,"Object detection is one of the most important challenges in computer vision.
Object detectors are usually trained on bounding-boxes from still images.
Recently, video has been used as an alternative source of data. Yet, for a
given test domain (image or video), the performance of the detector depends on
the domain it was trained on. In this paper, we examine the reasons behind this
performance gap. We define and evaluate different domain shift factors: spatial
location accuracy, appearance diversity, image quality and aspect distribution.
We examine the impact of these factors by comparing performance before and
after factoring them out. The results show that all four factors affect the
performance of the detectors and their combined effect explains nearly the
whole performance gap.",['cs.CV'],124,90
Deep Tiered Image Segmentation For Detecting Internal Ice Layers in Radar Imagery,"Understanding the structure of Earth's polar ice sheets is important for
modeling how global warming will impact polar ice and, in turn, the Earth's
climate. Ground-penetrating radar is able to collect observations of the
internal structure of snow and ice, but the process of manually labeling these
observations is slow and laborious. Recent work has developed automatic
techniques for finding the boundaries between the ice and the bedrock, but
finding internal layers - the subtle boundaries that indicate where one year's
ice accumulation ended and the next began - is much more challenging because
the number of layers varies and the boundaries often merge and split. In this
paper, we propose a novel deep neural network for solving a general class of
tiered segmentation problems. We then apply it to detecting internal layers in
polar ice, evaluating on a large-scale dataset of polar ice radar data with
human-labeled annotations as ground truth.",['cs.CV'],156,102
Color-based Segmentation of Sky/Cloud Images From Ground-based Cameras,"Sky/cloud images captured by ground-based cameras (a.k.a. whole sky imagers)
are increasingly used nowadays because of their applications in a number of
fields, including climate modeling, weather prediction, renewable energy
generation, and satellite communications. Due to the wide variety of cloud
types and lighting conditions in such images, accurate and robust segmentation
of clouds is challenging. In this paper, we present a supervised segmentation
framework for ground-based sky/cloud images based on a systematic analysis of
different color spaces and components, using partial least squares (PLS)
regression. Unlike other state-of-the-art methods, our proposed approach is
entirely learning-based and does not require any manually-defined parameters.
In addition, we release the Singapore Whole Sky IMaging SEGmentation Database
(SWIMSEG), a large database of annotated sky/cloud images, to the research
community.",['cs.CV'],138,101
WAX-ML: A Python library for machine learning and feedback loops on streaming data,"Wax is what you put on a surfboard to avoid slipping. It is an essential tool
to go surfing... We introduce WAX-ML a research-oriented Python library
providing tools to design powerful machine learning algorithms and feedback
loops working on streaming data. It strives to complement JAX with tools
dedicated to time series. WAX-ML makes JAX-based programs easy to use for
end-users working with pandas and xarray for data manipulation. It provides a
simple mechanism for implementing feedback loops, allows the implementation of
online learning and reinforcement learning algorithms with functions, and makes
them easy to integrate by end-users working with the object-oriented
reinforcement learning framework from the Gym library. It is released with an
Apache open-source license on GitHub at https://github.com/eserie/wax-ml.","['cs.LG', 'cs.CL']",134,87
Alternating linear scheme in a Bayesian framework for low-rank tensor approximation,"Multiway data often naturally occurs in a tensorial format which can be
approximately represented by a low-rank tensor decomposition. This is useful
because complexity can be significantly reduced and the treatment of
large-scale data sets can be facilitated. In this paper, we find a low-rank
representation for a given tensor by solving a Bayesian inference problem. This
is achieved by dividing the overall inference problem into sub-problems where
we sequentially infer the posterior distribution of one tensor decomposition
component at a time. This leads to a probabilistic interpretation of the
well-known iterative algorithm alternating linear scheme (ALS). In this way,
the consideration of measurement noise is enabled, as well as the incorporation
of application-specific prior knowledge and the uncertainty quantification of
the low-rank tensor estimate. To compute the low-rank tensor estimate from the
posterior distributions of the tensor decomposition components, we present an
algorithm that performs the unscented transform in tensor train format.","['cs.LG', 'cs.NA', 'math.NA']",161,99
A Novel Image Segmentation Enhancement Technique based on Active Contour and Topological Alignments,"Topological alignments and snakes are used in image processing, particularly
in locating object boundaries. Both of them have their own advantages and
limitations. To improve the overall image boundary detection system, we focused
on developing a novel algorithm for image processing. The algorithm we propose
to develop will based on the active contour method in conjunction with
topological alignments method to enhance the image detection approach. The
algorithm presents novel technique to incorporate the advantages of both
Topological Alignments and snakes. Where the initial segmentation by
Topological Alignments is firstly transformed into the input of the snake model
and begins its evolvement to the interested object boundary. The results show
that the algorithm can deal with low contrast images and shape cells,
demonstrate the segmentation accuracy under weak image boundaries, which
responsible for lacking accuracy in image detecting techniques. We have
achieved better segmentation and boundary detecting for the image, also the
ability of the system to improve the low contrast and deal with over and under
segmentation.",['cs.CV'],168,95
MAGNeto: An Efficient Deep Learning Method for the Extractive Tags Summarization Problem,"In this work, we study a new image annotation task named Extractive Tags
Summarization (ETS). The goal is to extract important tags from the context
lying in an image and its corresponding tags. We adjust some state-of-the-art
deep learning models to utilize both visual and textual information. Our
proposed solution consists of different widely used blocks like convolutional
and self-attention layers, together with a novel idea of combining auxiliary
loss functions and the gating mechanism to glue and elevate these fundamental
components and form a unified architecture. Besides, we introduce a loss
function that aims to reduce the imbalance of the training data and a simple
but effective data augmentation technique dedicated to alleviates the effect of
outliers on the final results. Last but not least, we explore an unsupervised
pre-training strategy to further boost the performance of the model by making
use of the abundant amount of available unlabeled data. Our model shows the
good results as 90% $F_\text{1}$ score on the public NUS-WIDE benchmark, and
50% $F_\text{1}$ score on a noisy large-scale real-world private dataset.
Source code for reproducing the experiments is publicly available at:
https://github.com/pixta-dev/labteam","['cs.CV', 'cs.AI']",205,148
Function-Space Distributions over Kernels,"Gaussian processes are flexible function approximators, with inductive biases
controlled by a covariance kernel. Learning the kernel is the key to
representation learning and strong predictive performance. In this paper, we
develop functional kernel learning (FKL) to directly infer functional
posteriors over kernels. In particular, we place a transformed Gaussian process
over a spectral density, to induce a non-parametric distribution over kernel
functions. The resulting approach enables learning of rich representations,
with support for any stationary kernel, uncertainty over the values of the
kernel, and an interpretable specification of a prior directly over kernels,
without requiring sophisticated initialization or manual intervention. We
perform inference through elliptical slice sampling, which is especially well
suited to marginalizing posteriors with the strongly correlated priors typical
to function space modelling. We develop our approach for non-uniform,
large-scale, multi-task, and multidimensional data, and show promising
performance in a wide range of settings, including interpolation,
extrapolation, and kernel recovery experiments.","['cs.LG', 'stat.ML']",158,109
Graph Convolutional Neural Networks via Motif-based Attention,"Many real-world problems can be represented as graph-based learning problems.
In this paper, we propose a novel framework for learning spatial and
attentional convolution neural networks on arbitrary graphs. Different from
previous convolutional neural networks on graphs, we first design a
motif-matching guided subgraph normalization method to capture neighborhood
information. Then we implement subgraph-level self-attentional layers to learn
different importances from different subgraphs to solve graph classification
problems. Analogous to image-based attentional convolution networks that
operate on locally connected and weighted regions of the input, we also extend
graph normalization from one-dimensional node sequence to two-dimensional node
grid by leveraging motif-matching, and design self-attentional layers without
requiring any kinds of cost depending on prior knowledge of the graph
structure. Our results on both bioinformatics and social network datasets show
that we can significantly improve graph classification benchmarks over
traditional graph kernel and existing deep models.",['cs.LG'],155,103
Fine-grained Semantic Constraint in Image Synthesis,"In this paper, we propose a multi-stage and high-resolution model for image
synthesis that uses fine-grained attributes and masks as input. With a
fine-grained attribute, the proposed model can detailedly constrain the
features of the generated image through rich and fine-grained semantic
information in the attribute. With mask as prior, the model in this paper is
constrained so that the generated images conform to visual senses, which will
reduce the unexpected diversity of samples generated from the generative
adversarial network. This paper also proposes a scheme to improve the
discriminator of the generative adversarial network by simultaneously
discriminating the total image and sub-regions of the image. In addition, we
propose a method for optimizing the labeled attribute in datasets, which
reduces the manual labeling noise. Extensive quantitative results show that our
image synthesis model generates more realistic images.",['cs.CV'],144,87
A Public Ground-Truth Dataset for Handwritten Circuit Diagram Images,"The development of digitization methods for line drawings (especially in the
area of electrical engineering) relies on the availability of publicly
available training and evaluation data. This paper presents such an image set
along with annotations. The dataset consists of 1152 images of 144 circuits by
12 drafters and 48 563 annotations. Each of these images depicts an electrical
circuit diagram, taken by consumer grade cameras under varying lighting
conditions and perspectives. A variety of different pencil types and surface
materials has been used. For each image, all individual electrical components
are annotated with bounding boxes and one out of 45 class labels. In order to
simplify a graph extraction process, different helper symbols like junction
points and crossovers are introduced, while texts are annotated as well. The
geometric and taxonomic problems arising from this task as well as the classes
themselves and statistics of their appearances are stated. The performance of a
standard Faster RCNN on the dataset is provided as an object detection
baseline.",['cs.CV'],166,123
Soft-IntroVAE: Analyzing and Improving the Introspective Variational Autoencoder,"The recently introduced introspective variational autoencoder (IntroVAE)
exhibits outstanding image generations, and allows for amortized inference
using an image encoder. The main idea in IntroVAE is to train a VAE
adversarially, using the VAE encoder to discriminate between generated and real
data samples. However, the original IntroVAE loss function relied on a
particular hinge-loss formulation that is very hard to stabilize in practice,
and its theoretical convergence analysis ignored important terms in the loss.
In this work, we take a step towards better understanding of the IntroVAE
model, its practical implementation, and its applications. We propose the
Soft-IntroVAE, a modified IntroVAE that replaces the hinge-loss terms with a
smooth exponential loss on generated samples. This change significantly
improves training stability, and also enables theoretical analysis of the
complete algorithm. Interestingly, we show that the IntroVAE converges to a
distribution that minimizes a sum of KL distance from the data distribution and
an entropy term. We discuss the implications of this result, and demonstrate
that it induces competitive image generation and reconstruction. Finally, we
describe two applications of Soft-IntroVAE to unsupervised image translation
and out-of-distribution detection, and demonstrate compelling results. Code and
additional information is available on the project website --
https://taldatech.github.io/soft-intro-vae-web","['cs.LG', 'cs.AI', 'cs.CV']",213,131
TransRefer3D: Entity-and-Relation Aware Transformer for Fine-Grained 3D Visual Grounding,"Recently proposed fine-grained 3D visual grounding is an essential and
challenging task, whose goal is to identify the 3D object referred by a natural
language sentence from other distractive objects of the same category. Existing
works usually adopt dynamic graph networks to indirectly model the
intra/inter-modal interactions, making the model difficult to distinguish the
referred object from distractors due to the monolithic representations of
visual and linguistic contents. In this work, we exploit Transformer for its
natural suitability on permutation-invariant 3D point clouds data and propose a
TransRefer3D network to extract entity-and-relation aware multimodal context
among objects for more discriminative feature learning. Concretely, we devise
an Entity-aware Attention (EA) module and a Relation-aware Attention (RA)
module to conduct fine-grained cross-modal feature matching. Facilitated by
co-attention operation, our EA module matches visual entity features with
linguistic entity features while RA module matches pair-wise visual relation
features with linguistic relation features, respectively. We further integrate
EA and RA modules into an Entity-and-Relation aware Contextual Block (ERCB) and
stack several ERCBs to form our TransRefer3D for hierarchical multimodal
context modeling. Extensive experiments on both Nr3D and Sr3D datasets
demonstrate that our proposed model significantly outperforms existing
approaches by up to 10.6% and claims the new state-of-the-art. To the best of
our knowledge, this is the first work investigating Transformer architecture
for fine-grained 3D visual grounding task.","['cs.CV', 'cs.AI']",242,145
Low-dimensional statistical manifold embedding of directed graphs,"We propose a novel node embedding of directed graphs to statistical
manifolds, which is based on a global minimization of pairwise relative entropy
and graph geodesics in a non-linear way. Each node is encoded with a
probability density function over a measurable space. Furthermore, we analyze
the connection between the geometrical properties of such embedding and their
efficient learning procedure. Extensive experiments show that our proposed
embedding is better in preserving the global geodesic information of graphs, as
well as outperforming existing embedding models on directed graphs in a variety
of evaluation metrics, in an unsupervised setting.","['cs.LG', 'stat.ML']",98,71
Near-optimal Keypoint Sampling for Fast Pathological Lung Segmentation,"Accurate delineation of pathological lungs from computed tomography (CT)
images remains mostly unsolved because available methods fail to provide a
reliable generic solution due to high variability of abnormality appearance.
Local descriptor-based classification methods have shown to work well in
annotating pathologies; however, these methods are usually computationally
intensive which restricts their widespread use in real-time or near-real-time
clinical applications. In this paper, we present a novel approach for fast,
accurate, reliable segmentation of pathological lungs from CT scans by
combining region-based segmentation method with local descriptor classification
that is performed on an optimized sampling grid. Our method works in two
stages; during stage one, we adapted the fuzzy connectedness (FC) image
segmentation algorithm to perform initial lung parenchyma extraction. In the
second stage, texture-based local descriptors are utilized to segment abnormal
imaging patterns using a near optimal keypoint analysis by employing centroid
of supervoxel as grid points. The quantitative results show that our
pathological lung segmentation method is fast, robust, and improves on current
standards and has potential to enhance the performance of routine clinical
tasks.",['cs.CV'],183,134
GradTS: A Gradient-Based Automatic Auxiliary Task Selection Method Based on Transformer Networks,"A key problem in multi-task learning (MTL) research is how to select
high-quality auxiliary tasks automatically. This paper presents GradTS, an
automatic auxiliary task selection method based on gradient calculation in
Transformer-based models. Compared to AUTOSEM, a strong baseline method, GradTS
improves the performance of MT-DNN with a bert-base-cased backend model, from
0.33% to 17.93% on 8 natural language understanding (NLU) tasks in the GLUE
benchmarks. GradTS is also time-saving since (1) its gradient calculations are
based on single-task experiments and (2) the gradients are re-used without
additional experiments when the candidate task set changes. On the 8 GLUE
classification tasks, for example, GradTS costs on average 21.32% less time
than AUTOSEM with comparable GPU consumption. Further, we show the robustness
of GradTS across various task settings and model selections, e.g. mixed
objectives among candidate tasks. The efficiency and efficacy of GradTS in
these case studies illustrate its general applicability in MTL research without
requiring manual task filtering or costly parameter tuning.","['cs.LG', 'cs.CL']",175,124
Deep Q-Learning for Directed Acyclic Graph Generation,"We present a method to generate directed acyclic graphs (DAGs) using deep
reinforcement learning, specifically deep Q-learning. Generating graphs with
specified structures is an important and challenging task in various
application fields, however most current graph generation methods produce
graphs with undirected edges. We demonstrate that this method is capable of
generating DAGs with topology and node types satisfying specified criteria in
highly sparse reward environments.","['cs.LG', 'stat.ML']",67,54
CSCAD: Correlation Structure-based Collective Anomaly Detection in Complex System,"Detecting anomalies in large complex systems is a critical and challenging
task. The difficulties arise from several aspects. First, collecting ground
truth labels or prior knowledge for anomalies is hard in real-world systems,
which often lead to limited or no anomaly labels in the dataset. Second,
anomalies in large systems usually occur in a collective manner due to the
underlying dependency structure among devices or sensors. Lastly, real-time
anomaly detection for high-dimensional data requires efficient algorithms that
are capable of handling different types of data (i.e. continuous and discrete).
We propose a correlation structure-based collective anomaly detection (CSCAD)
model for high-dimensional anomaly detection problem in large systems, which is
also generalizable to semi-supervised or supervised settings. Our framework
utilize graph convolutional network combining a variational autoencoder to
jointly exploit the feature space correlation and reconstruction deficiency of
samples to perform anomaly detection. We propose an extended mutual information
(EMI) metric to mine the internal correlation structure among different data
features, which enhances the data reconstruction capability of CSCAD. The
reconstruction loss and latent standard deviation vector of a sample obtained
from reconstruction network can be perceived as two natural anomalous degree
measures. An anomaly discriminating network can then be trained using low
anomalous degree samples as positive samples, and high anomalous degree samples
as negative samples. Experimental results on five public datasets demonstrate
that our approach consistently outperforms all the competing baselines.",['cs.LG'],239,149
Channel Attention and Multi-level Features Fusion for Single Image Super-Resolution,"Convolutional neural networks (CNNs) have demonstrated superior performance
in super-resolution (SR). However, most CNN-based SR methods neglect the
different importance among feature channels or fail to take full advantage of
the hierarchical features. To address these issues, this paper presents a novel
recursive unit. Firstly, at the beginning of each unit, we adopt a compact
channel attention mechanism to adaptively recalibrate the channel importance of
input features. Then, the multi-level features, rather than only deep-level
features, are extracted and fused. Additionally, we find that it will force our
model to learn more details by using the learnable upsampling method (i.e.,
transposed convolution) only on residual branch (instead of using it both on
residual branch and identity branch) while using the bicubic interpolation on
the other branch. Analytic experiments show that our method achieves
competitive results compared with the state-of-the-art methods and maintains
faster speed as well.",['cs.CV'],154,113
Retrofitting Distributional Embeddings to Knowledge Graphs with Functional Relations,"Knowledge graphs are a versatile framework to encode richly structured data
relationships, but it can be challenging to combine these graphs with
unstructured data. Methods for retrofitting pre-trained entity representations
to the structure of a knowledge graph typically assume that entities are
embedded in a connected space and that relations imply similarity. However,
useful knowledge graphs often contain diverse entities and relations (with
potentially disjoint underlying corpora) which do not accord with these
assumptions. To overcome these limitations, we present Functional Retrofitting,
a framework that generalizes current retrofitting methods by explicitly
modeling pairwise relations. Our framework can directly incorporate a variety
of pairwise penalty functions previously developed for knowledge graph
completion. Further, it allows users to encode, learn, and extract information
about relation semantics. We present both linear and neural instantiations of
the framework. Functional Retrofitting significantly outperforms existing
retrofitting methods on complex knowledge graphs and loses no accuracy on
simpler graphs (in which relations do imply similarity). Finally, we
demonstrate the utility of the framework by predicting new drug--disease
treatment pairs in a large, complex health knowledge graph.","['stat.ML', 'cs.CL', 'cs.LG']",181,116
Automatic Estimation of Live Coffee Leaf Infection based on Image Processing Techniques,"Image segmentation is the most challenging issue in computer vision
applications. And most difficulties for crops management in agriculture are the
lack of appropriate methods for detecting the leaf damage for pests treatment.
In this paper we proposed an automatic method for leaf damage detection and
severity estimation of coffee leaf by avoiding defoliation. After enhancing the
contrast of the original image using LUT based gamma correction, the image is
processed to remove the background, and the output leaf is clustered using
Fuzzy c-means segmentation in V channel of YUV color space to maximize all leaf
damage detection, and finally, the severity of leaf is estimated in terms of
ratio for leaf pixel distribution between the normal and the detected leaf
damage. The results in each proposed method was compared to the current
researches and the accuracy is obvious either in the background removal or
damage detection.",['cs.CV'],148,90
How many labeled license plates are needed?,"Training a good deep learning model often requires a lot of annotated data.
As a large amount of labeled data is typically difficult to collect and even
more difficult to annotate, data augmentation and data generation are widely
used in the process of training deep neural networks. However, there is no
clear common understanding on how much labeled data is needed to get
satisfactory performance. In this paper, we try to address such a question
using vehicle license plate character recognition as an example application. We
apply computer graphic scripts and Generative Adversarial Networks to generate
and augment a large number of annotated, synthesized license plate images with
realistic colors, fonts, and character composition from a small number of real,
manually labeled license plate images. Generated and augmented data are mixed
and used as training data for the license plate recognition network modified
from DenseNet. The experimental results show that the model trained from the
generated mixed training data has good generalization ability, and the proposed
approach achieves a new state-of-the-art accuracy on Dataset-1 and AOLP, even
with a very limited number of original real license plates. In addition, the
accuracy improvement caused by data generation becomes more significant when
the number of labeled images is reduced. Data augmentation also plays a more
significant role when the number of labeled images is increased.",['cs.CV'],227,133
